Date,Open,High,Low,Close,Volume
09/20/2024,"13.02","14.08","13.02","13.95","1,561,426"
09/19/2024,"13.94","14.78","13.81","14.31","932,611"
09/18/2024,"14.74","14.98","13.66","13.74","776,285"
09/17/2024,"15.37","15.97","14.60","14.77","665,285"
09/16/2024,"15.68","15.75","14.76","14.98","394,266"
09/13/2024,"15.79","16.15","15.51","15.70","341,694"
09/12/2024,"15.52","16.08","15.21","15.48","351,824"
09/11/2024,"14.41","15.49","14.33","15.25","352,330"
09/10/2024,"14.34","14.56","13.91","14.52","245,386"
09/09/2024,"14.01","14.69","14.01","14.27","377,144"
09/06/2024,"14.90","15.04","13.90","14.07","531,890"
09/05/2024,"15.31","15.65","14.90","15.01","332,672"
09/04/2024,"15.70","16.25","15.43","15.46","290,438"
09/03/2024,"16.90","17.19","15.81","15.91","476,252"
08/30/2024,"17.47","17.62","16.75","17.28","576,726"
08/29/2024,"17.78","18.71","17.12","17.18","901,563"
08/28/2024,"19.22","19.40","17.36","17.72","663,507"
08/27/2024,"18.54","19.80","18.37","19.50","386,592"
08/26/2024,"19.39","19.43","18.75","18.89","279,858"
08/23/2024,"17.90","19.16","17.80","19.14","354,899"
08/22/2024,"18.63","19.39","17.75","17.84","361,630"
08/21/2024,"18.45","18.70","17.85","18.49","263,611"
08/20/2024,"18.72","19.55","17.53","18.36","653,709"
08/19/2024,"17.09","18.70","17.01","18.69","609,678"
08/16/2024,"17.27","17.60","16.85","17.06","302,907"
08/15/2024,"16.59","17.19","15.67","17.12","560,611"
08/14/2024,"16.55","17.19","16.26","16.49","594,421"
08/13/2024,"18.72","19.35","15.78","16.43","1,291,143"
08/12/2024,"19.20","20.11","17.96","18.47","899,776"
08/09/2024,"20.50","21.10","17.11","18.55","1,720,059"
08/08/2024,"15.81","16.43","15.60","16.38","566,314"
08/07/2024,"17.00","17.25","15.33","15.46","404,345"
08/06/2024,"16.00","17.00","15.50","16.64","472,661"
08/05/2024,"14.60","16.40","13.56","15.84","657,762"
08/02/2024,"16.91","17.63","16.23","16.77","549,168"
08/01/2024,"19.38","19.96","17.60","18.04","490,802"
07/31/2024,"19.08","20.05","18.76","19.35","463,424"
07/30/2024,"19.00","19.94","18.32","18.75","377,978"
07/29/2024,"20.31","21.12","18.52","18.77","696,847"
07/26/2024,"18.04","20.08","17.98","19.76","780,607"
07/25/2024,"17.34","17.99","16.61","17.32","362,397"
07/24/2024,"17.37","17.52","17.10","17.21","259,202"
07/23/2024,"17.42","18.17","17.23","17.72","299,491"
07/22/2024,"18.10","18.57","17.02","17.63","436,023"
07/19/2024,"18.90","18.90","17.35","17.65","641,268"
07/18/2024,"19.72","20.26","18.75","18.95","396,599"
07/17/2024,"20.71","21.12","19.08","19.62","658,445"
07/16/2024,"20.52","21.58","20.09","21.34","1,398,550"
07/15/2024,"17.63","20.99","17.35","20.17","2,255,179"
07/12/2024,"16.81","17.17","16.60","16.92","314,973"
07/11/2024,"17.00","17.10","16.01","16.56","371,106"
